fold,subject,N_cal_points,general_model_error,calibrated_model_error,exp_name,run_name,model_type,db_name,features,target
0,484,2,20.969402313232422,7.468810558319092,ResidualCalibrated,naive-xresidual-cal2-0001,mlp_vanilla,rescalmimicv1,"ptt,hr,ppg_histogram_up,ppg_histogram_down,vpg_histogram_up,vpg_histogram_down,apg_histogram_up,apg_histogram_down",sbp
0,225,2,46.33491134643555,12.170626640319824,ResidualCalibrated,naive-xresidual-cal2-0001,mlp_vanilla,rescalmimicv1,"ptt,hr,ppg_histogram_up,ppg_histogram_down,vpg_histogram_up,vpg_histogram_down,apg_histogram_up,apg_histogram_down",sbp
0,437,2,15.986505508422852,18.603044509887695,ResidualCalibrated,naive-xresidual-cal2-0001,mlp_vanilla,rescalmimicv1,"ptt,hr,ppg_histogram_up,ppg_histogram_down,vpg_histogram_up,vpg_histogram_down,apg_histogram_up,apg_histogram_down",sbp
0,216,2,12.146552085876465,6.449920177459717,ResidualCalibrated,naive-xresidual-cal2-0001,mlp_vanilla,rescalmimicv1,"ptt,hr,ppg_histogram_up,ppg_histogram_down,vpg_histogram_up,vpg_histogram_down,apg_histogram_up,apg_histogram_down",sbp
0,417,2,9.484870910644531,4.751798152923584,ResidualCalibrated,naive-xresidual-cal2-0001,mlp_vanilla,rescalmimicv1,"ptt,hr,ppg_histogram_up,ppg_histogram_down,vpg_histogram_up,vpg_histogram_down,apg_histogram_up,apg_histogram_down",sbp
1,284,2,23.691810607910156,24.081071853637695,ResidualCalibrated,naive-xresidual-cal2-0001,mlp_vanilla,rescalmimicv1,"ptt,hr,ppg_histogram_up,ppg_histogram_down,vpg_histogram_up,vpg_histogram_down,apg_histogram_up,apg_histogram_down",sbp
1,438,2,14.334818840026855,20.087512969970703,ResidualCalibrated,naive-xresidual-cal2-0001,mlp_vanilla,rescalmimicv1,"ptt,hr,ppg_histogram_up,ppg_histogram_down,vpg_histogram_up,vpg_histogram_down,apg_histogram_up,apg_histogram_down",sbp
1,471,2,40.01819610595703,16.223417282104492,ResidualCalibrated,naive-xresidual-cal2-0001,mlp_vanilla,rescalmimicv1,"ptt,hr,ppg_histogram_up,ppg_histogram_down,vpg_histogram_up,vpg_histogram_down,apg_histogram_up,apg_histogram_down",sbp
1,213,2,22.332387924194336,4.226467609405518,ResidualCalibrated,naive-xresidual-cal2-0001,mlp_vanilla,rescalmimicv1,"ptt,hr,ppg_histogram_up,ppg_histogram_down,vpg_histogram_up,vpg_histogram_down,apg_histogram_up,apg_histogram_down",sbp
1,439,2,9.392781257629395,11.003665924072266,ResidualCalibrated,naive-xresidual-cal2-0001,mlp_vanilla,rescalmimicv1,"ptt,hr,ppg_histogram_up,ppg_histogram_down,vpg_histogram_up,vpg_histogram_down,apg_histogram_up,apg_histogram_down",sbp
2,237,2,12.402461051940918,8.516840934753418,ResidualCalibrated,naive-xresidual-cal2-0001,mlp_vanilla,rescalmimicv1,"ptt,hr,ppg_histogram_up,ppg_histogram_down,vpg_histogram_up,vpg_histogram_down,apg_histogram_up,apg_histogram_down",sbp
2,240,2,20.08807373046875,11.951560020446777,ResidualCalibrated,naive-xresidual-cal2-0001,mlp_vanilla,rescalmimicv1,"ptt,hr,ppg_histogram_up,ppg_histogram_down,vpg_histogram_up,vpg_histogram_down,apg_histogram_up,apg_histogram_down",sbp
2,446,2,16.505233764648438,7.626016139984131,ResidualCalibrated,naive-xresidual-cal2-0001,mlp_vanilla,rescalmimicv1,"ptt,hr,ppg_histogram_up,ppg_histogram_down,vpg_histogram_up,vpg_histogram_down,apg_histogram_up,apg_histogram_down",sbp
2,281,2,12.39748477935791,8.951617240905762,ResidualCalibrated,naive-xresidual-cal2-0001,mlp_vanilla,rescalmimicv1,"ptt,hr,ppg_histogram_up,ppg_histogram_down,vpg_histogram_up,vpg_histogram_down,apg_histogram_up,apg_histogram_down",sbp
2,476,2,12.58975887298584,13.911493301391602,ResidualCalibrated,naive-xresidual-cal2-0001,mlp_vanilla,rescalmimicv1,"ptt,hr,ppg_histogram_up,ppg_histogram_down,vpg_histogram_up,vpg_histogram_down,apg_histogram_up,apg_histogram_down",sbp
3,224,2,30.804969787597656,15.177017211914062,ResidualCalibrated,naive-xresidual-cal2-0001,mlp_vanilla,rescalmimicv1,"ptt,hr,ppg_histogram_up,ppg_histogram_down,vpg_histogram_up,vpg_histogram_down,apg_histogram_up,apg_histogram_down",sbp
3,226,2,10.083699226379395,10.413762092590332,ResidualCalibrated,naive-xresidual-cal2-0001,mlp_vanilla,rescalmimicv1,"ptt,hr,ppg_histogram_up,ppg_histogram_down,vpg_histogram_up,vpg_histogram_down,apg_histogram_up,apg_histogram_down",sbp
3,427,2,11.022302627563477,15.141692161560059,ResidualCalibrated,naive-xresidual-cal2-0001,mlp_vanilla,rescalmimicv1,"ptt,hr,ppg_histogram_up,ppg_histogram_down,vpg_histogram_up,vpg_histogram_down,apg_histogram_up,apg_histogram_down",sbp
3,482,2,10.060105323791504,7.024697780609131,ResidualCalibrated,naive-xresidual-cal2-0001,mlp_vanilla,rescalmimicv1,"ptt,hr,ppg_histogram_up,ppg_histogram_down,vpg_histogram_up,vpg_histogram_down,apg_histogram_up,apg_histogram_down",sbp
3,485,2,14.228497505187988,14.997543334960938,ResidualCalibrated,naive-xresidual-cal2-0001,mlp_vanilla,rescalmimicv1,"ptt,hr,ppg_histogram_up,ppg_histogram_down,vpg_histogram_up,vpg_histogram_down,apg_histogram_up,apg_histogram_down",sbp
4,443,2,20.707714080810547,16.245317459106445,ResidualCalibrated,naive-xresidual-cal2-0001,mlp_vanilla,rescalmimicv1,"ptt,hr,ppg_histogram_up,ppg_histogram_down,vpg_histogram_up,vpg_histogram_down,apg_histogram_up,apg_histogram_down",sbp
4,276,2,8.892940521240234,10.470879554748535,ResidualCalibrated,naive-xresidual-cal2-0001,mlp_vanilla,rescalmimicv1,"ptt,hr,ppg_histogram_up,ppg_histogram_down,vpg_histogram_up,vpg_histogram_down,apg_histogram_up,apg_histogram_down",sbp
4,452,2,25.901226043701172,2.8443174362182617,ResidualCalibrated,naive-xresidual-cal2-0001,mlp_vanilla,rescalmimicv1,"ptt,hr,ppg_histogram_up,ppg_histogram_down,vpg_histogram_up,vpg_histogram_down,apg_histogram_up,apg_histogram_down",sbp
