fold,subject,N_cal_points,general_model_error,calibrated_model_error,exp_name,run_name,model_type,db_name,features,target
0,484,5,20.969402313232422,8.83606243133545,ResidualCalibrated,naive-xresidual-cal5-0002,mlp_vanilla,rescalmimicv1,"ptt,hr,ppg_histogram_up,ppg_histogram_down,vpg_histogram_up,vpg_histogram_down,apg_histogram_up,apg_histogram_down",sbp
0,225,5,46.33491134643555,12.99443244934082,ResidualCalibrated,naive-xresidual-cal5-0002,mlp_vanilla,rescalmimicv1,"ptt,hr,ppg_histogram_up,ppg_histogram_down,vpg_histogram_up,vpg_histogram_down,apg_histogram_up,apg_histogram_down",sbp
0,437,5,15.986505508422852,18.078815460205078,ResidualCalibrated,naive-xresidual-cal5-0002,mlp_vanilla,rescalmimicv1,"ptt,hr,ppg_histogram_up,ppg_histogram_down,vpg_histogram_up,vpg_histogram_down,apg_histogram_up,apg_histogram_down",sbp
0,216,5,12.146552085876465,5.349294662475586,ResidualCalibrated,naive-xresidual-cal5-0002,mlp_vanilla,rescalmimicv1,"ptt,hr,ppg_histogram_up,ppg_histogram_down,vpg_histogram_up,vpg_histogram_down,apg_histogram_up,apg_histogram_down",sbp
0,417,5,9.484870910644531,4.663837909698486,ResidualCalibrated,naive-xresidual-cal5-0002,mlp_vanilla,rescalmimicv1,"ptt,hr,ppg_histogram_up,ppg_histogram_down,vpg_histogram_up,vpg_histogram_down,apg_histogram_up,apg_histogram_down",sbp
1,284,5,23.691810607910156,30.163015365600586,ResidualCalibrated,naive-xresidual-cal5-0002,mlp_vanilla,rescalmimicv1,"ptt,hr,ppg_histogram_up,ppg_histogram_down,vpg_histogram_up,vpg_histogram_down,apg_histogram_up,apg_histogram_down",sbp
1,438,5,14.334818840026855,13.919024467468262,ResidualCalibrated,naive-xresidual-cal5-0002,mlp_vanilla,rescalmimicv1,"ptt,hr,ppg_histogram_up,ppg_histogram_down,vpg_histogram_up,vpg_histogram_down,apg_histogram_up,apg_histogram_down",sbp
1,471,5,40.01819610595703,15.009029388427734,ResidualCalibrated,naive-xresidual-cal5-0002,mlp_vanilla,rescalmimicv1,"ptt,hr,ppg_histogram_up,ppg_histogram_down,vpg_histogram_up,vpg_histogram_down,apg_histogram_up,apg_histogram_down",sbp
1,213,5,22.332387924194336,5.095445156097412,ResidualCalibrated,naive-xresidual-cal5-0002,mlp_vanilla,rescalmimicv1,"ptt,hr,ppg_histogram_up,ppg_histogram_down,vpg_histogram_up,vpg_histogram_down,apg_histogram_up,apg_histogram_down",sbp
1,439,5,9.392781257629395,9.84581470489502,ResidualCalibrated,naive-xresidual-cal5-0002,mlp_vanilla,rescalmimicv1,"ptt,hr,ppg_histogram_up,ppg_histogram_down,vpg_histogram_up,vpg_histogram_down,apg_histogram_up,apg_histogram_down",sbp
2,237,5,12.402461051940918,6.170042037963867,ResidualCalibrated,naive-xresidual-cal5-0002,mlp_vanilla,rescalmimicv1,"ptt,hr,ppg_histogram_up,ppg_histogram_down,vpg_histogram_up,vpg_histogram_down,apg_histogram_up,apg_histogram_down",sbp
2,240,5,20.08807373046875,11.637678146362305,ResidualCalibrated,naive-xresidual-cal5-0002,mlp_vanilla,rescalmimicv1,"ptt,hr,ppg_histogram_up,ppg_histogram_down,vpg_histogram_up,vpg_histogram_down,apg_histogram_up,apg_histogram_down",sbp
2,446,5,16.505233764648438,7.575390815734863,ResidualCalibrated,naive-xresidual-cal5-0002,mlp_vanilla,rescalmimicv1,"ptt,hr,ppg_histogram_up,ppg_histogram_down,vpg_histogram_up,vpg_histogram_down,apg_histogram_up,apg_histogram_down",sbp
