fold,subject,N_cal_points,general_model_error,calibrated_model_error,exp_name,run_name,model_type,db_name,features,target
0,484,1,20.969402313232422,9.325115203857422,ResidualCalibrated,naive-xresidual-cal1-0000,mlp_vanilla,rescalmimicv1,"ptt,hr,ppg_histogram_up,ppg_histogram_down,vpg_histogram_up,vpg_histogram_down,apg_histogram_up,apg_histogram_down",sbp
0,225,1,46.33491134643555,12.600767135620117,ResidualCalibrated,naive-xresidual-cal1-0000,mlp_vanilla,rescalmimicv1,"ptt,hr,ppg_histogram_up,ppg_histogram_down,vpg_histogram_up,vpg_histogram_down,apg_histogram_up,apg_histogram_down",sbp
0,437,1,15.986505508422852,22.57647705078125,ResidualCalibrated,naive-xresidual-cal1-0000,mlp_vanilla,rescalmimicv1,"ptt,hr,ppg_histogram_up,ppg_histogram_down,vpg_histogram_up,vpg_histogram_down,apg_histogram_up,apg_histogram_down",sbp
0,216,1,12.146552085876465,5.347701549530029,ResidualCalibrated,naive-xresidual-cal1-0000,mlp_vanilla,rescalmimicv1,"ptt,hr,ppg_histogram_up,ppg_histogram_down,vpg_histogram_up,vpg_histogram_down,apg_histogram_up,apg_histogram_down",sbp
0,417,1,9.484870910644531,4.629687309265137,ResidualCalibrated,naive-xresidual-cal1-0000,mlp_vanilla,rescalmimicv1,"ptt,hr,ppg_histogram_up,ppg_histogram_down,vpg_histogram_up,vpg_histogram_down,apg_histogram_up,apg_histogram_down",sbp
1,284,1,23.691810607910156,24.83751106262207,ResidualCalibrated,naive-xresidual-cal1-0000,mlp_vanilla,rescalmimicv1,"ptt,hr,ppg_histogram_up,ppg_histogram_down,vpg_histogram_up,vpg_histogram_down,apg_histogram_up,apg_histogram_down",sbp
1,438,1,14.334818840026855,21.98360824584961,ResidualCalibrated,naive-xresidual-cal1-0000,mlp_vanilla,rescalmimicv1,"ptt,hr,ppg_histogram_up,ppg_histogram_down,vpg_histogram_up,vpg_histogram_down,apg_histogram_up,apg_histogram_down",sbp
1,471,1,40.01819610595703,20.20404052734375,ResidualCalibrated,naive-xresidual-cal1-0000,mlp_vanilla,rescalmimicv1,"ptt,hr,ppg_histogram_up,ppg_histogram_down,vpg_histogram_up,vpg_histogram_down,apg_histogram_up,apg_histogram_down",sbp
1,213,1,22.332387924194336,5.0118408203125,ResidualCalibrated,naive-xresidual-cal1-0000,mlp_vanilla,rescalmimicv1,"ptt,hr,ppg_histogram_up,ppg_histogram_down,vpg_histogram_up,vpg_histogram_down,apg_histogram_up,apg_histogram_down",sbp
1,439,1,9.392781257629395,22.626235961914062,ResidualCalibrated,naive-xresidual-cal1-0000,mlp_vanilla,rescalmimicv1,"ptt,hr,ppg_histogram_up,ppg_histogram_down,vpg_histogram_up,vpg_histogram_down,apg_histogram_up,apg_histogram_down",sbp
2,237,1,12.402461051940918,9.197035789489746,ResidualCalibrated,naive-xresidual-cal1-0000,mlp_vanilla,rescalmimicv1,"ptt,hr,ppg_histogram_up,ppg_histogram_down,vpg_histogram_up,vpg_histogram_down,apg_histogram_up,apg_histogram_down",sbp
2,240,1,20.08807373046875,9.711325645446777,ResidualCalibrated,naive-xresidual-cal1-0000,mlp_vanilla,rescalmimicv1,"ptt,hr,ppg_histogram_up,ppg_histogram_down,vpg_histogram_up,vpg_histogram_down,apg_histogram_up,apg_histogram_down",sbp
2,446,1,16.505233764648438,8.180702209472656,ResidualCalibrated,naive-xresidual-cal1-0000,mlp_vanilla,rescalmimicv1,"ptt,hr,ppg_histogram_up,ppg_histogram_down,vpg_histogram_up,vpg_histogram_down,apg_histogram_up,apg_histogram_down",sbp
2,281,1,12.39748477935791,9.0120849609375,ResidualCalibrated,naive-xresidual-cal1-0000,mlp_vanilla,rescalmimicv1,"ptt,hr,ppg_histogram_up,ppg_histogram_down,vpg_histogram_up,vpg_histogram_down,apg_histogram_up,apg_histogram_down",sbp
2,476,1,12.58975887298584,12.589295387268066,ResidualCalibrated,naive-xresidual-cal1-0000,mlp_vanilla,rescalmimicv1,"ptt,hr,ppg_histogram_up,ppg_histogram_down,vpg_histogram_up,vpg_histogram_down,apg_histogram_up,apg_histogram_down",sbp
3,224,1,30.804969787597656,13.098114967346191,ResidualCalibrated,naive-xresidual-cal1-0000,mlp_vanilla,rescalmimicv1,"ptt,hr,ppg_histogram_up,ppg_histogram_down,vpg_histogram_up,vpg_histogram_down,apg_histogram_up,apg_histogram_down",sbp
3,226,1,10.083699226379395,11.236123085021973,ResidualCalibrated,naive-xresidual-cal1-0000,mlp_vanilla,rescalmimicv1,"ptt,hr,ppg_histogram_up,ppg_histogram_down,vpg_histogram_up,vpg_histogram_down,apg_histogram_up,apg_histogram_down",sbp
3,427,1,11.022302627563477,17.927400588989258,ResidualCalibrated,naive-xresidual-cal1-0000,mlp_vanilla,rescalmimicv1,"ptt,hr,ppg_histogram_up,ppg_histogram_down,vpg_histogram_up,vpg_histogram_down,apg_histogram_up,apg_histogram_down",sbp
3,482,1,10.060105323791504,7.026157855987549,ResidualCalibrated,naive-xresidual-cal1-0000,mlp_vanilla,rescalmimicv1,"ptt,hr,ppg_histogram_up,ppg_histogram_down,vpg_histogram_up,vpg_histogram_down,apg_histogram_up,apg_histogram_down",sbp
3,485,1,14.228497505187988,15.934134483337402,ResidualCalibrated,naive-xresidual-cal1-0000,mlp_vanilla,rescalmimicv1,"ptt,hr,ppg_histogram_up,ppg_histogram_down,vpg_histogram_up,vpg_histogram_down,apg_histogram_up,apg_histogram_down",sbp
4,443,1,20.707714080810547,29.370662689208984,ResidualCalibrated,naive-xresidual-cal1-0000,mlp_vanilla,rescalmimicv1,"ptt,hr,ppg_histogram_up,ppg_histogram_down,vpg_histogram_up,vpg_histogram_down,apg_histogram_up,apg_histogram_down",sbp
4,276,1,8.892940521240234,9.452657699584961,ResidualCalibrated,naive-xresidual-cal1-0000,mlp_vanilla,rescalmimicv1,"ptt,hr,ppg_histogram_up,ppg_histogram_down,vpg_histogram_up,vpg_histogram_down,apg_histogram_up,apg_histogram_down",sbp
4,452,1,25.901226043701172,4.127509593963623,ResidualCalibrated,naive-xresidual-cal1-0000,mlp_vanilla,rescalmimicv1,"ptt,hr,ppg_histogram_up,ppg_histogram_down,vpg_histogram_up,vpg_histogram_down,apg_histogram_up,apg_histogram_down",sbp
4,472,1,55.60601806640625,5.604918479919434,ResidualCalibrated,naive-xresidual-cal1-0000,mlp_vanilla,rescalmimicv1,"ptt,hr,ppg_histogram_up,ppg_histogram_down,vpg_histogram_up,vpg_histogram_down,apg_histogram_up,apg_histogram_down",sbp
