fold,subject,N_cal_points,general_model_error,calibrated_model_error,exp_name,run_name,model_type,db_name,features,target
0,484,5,11.865642547607422,9.857144355773926,ResidualCalibrated,sqi30ResCal-mlp-allfeat-cal5-xrescon-0207,mlp_vanilla,rescalmimicv1,"ptt,hr,ppg_histogram_up,ppg_histogram_down,vpg_histogram_up,vpg_histogram_down,apg_histogram_up,apg_histogram_down,ppg_fft_peaks_heights,ppg_fft_peaks_neighbor_avgs,vpg_fft_peaks_heights,vpg_fft_peaks_neighbor_avgs,apg_fft_peaks_heights,apg_fft_peaks_neighbor_avgs,usdc,dsdc",sbp
0,225,5,47.18779754638672,23.787765502929688,ResidualCalibrated,sqi30ResCal-mlp-allfeat-cal5-xrescon-0207,mlp_vanilla,rescalmimicv1,"ptt,hr,ppg_histogram_up,ppg_histogram_down,vpg_histogram_up,vpg_histogram_down,apg_histogram_up,apg_histogram_down,ppg_fft_peaks_heights,ppg_fft_peaks_neighbor_avgs,vpg_fft_peaks_heights,vpg_fft_peaks_neighbor_avgs,apg_fft_peaks_heights,apg_fft_peaks_neighbor_avgs,usdc,dsdc",sbp
0,437,5,13.504759788513184,14.383980751037598,ResidualCalibrated,sqi30ResCal-mlp-allfeat-cal5-xrescon-0207,mlp_vanilla,rescalmimicv1,"ptt,hr,ppg_histogram_up,ppg_histogram_down,vpg_histogram_up,vpg_histogram_down,apg_histogram_up,apg_histogram_down,ppg_fft_peaks_heights,ppg_fft_peaks_neighbor_avgs,vpg_fft_peaks_heights,vpg_fft_peaks_neighbor_avgs,apg_fft_peaks_heights,apg_fft_peaks_neighbor_avgs,usdc,dsdc",sbp
0,216,5,9.715967178344727,7.287693977355957,ResidualCalibrated,sqi30ResCal-mlp-allfeat-cal5-xrescon-0207,mlp_vanilla,rescalmimicv1,"ptt,hr,ppg_histogram_up,ppg_histogram_down,vpg_histogram_up,vpg_histogram_down,apg_histogram_up,apg_histogram_down,ppg_fft_peaks_heights,ppg_fft_peaks_neighbor_avgs,vpg_fft_peaks_heights,vpg_fft_peaks_neighbor_avgs,apg_fft_peaks_heights,apg_fft_peaks_neighbor_avgs,usdc,dsdc",sbp
0,417,5,6.370447635650635,5.301880836486816,ResidualCalibrated,sqi30ResCal-mlp-allfeat-cal5-xrescon-0207,mlp_vanilla,rescalmimicv1,"ptt,hr,ppg_histogram_up,ppg_histogram_down,vpg_histogram_up,vpg_histogram_down,apg_histogram_up,apg_histogram_down,ppg_fft_peaks_heights,ppg_fft_peaks_neighbor_avgs,vpg_fft_peaks_heights,vpg_fft_peaks_neighbor_avgs,apg_fft_peaks_heights,apg_fft_peaks_neighbor_avgs,usdc,dsdc",sbp
1,284,5,23.679292678833008,30.120716094970703,ResidualCalibrated,sqi30ResCal-mlp-allfeat-cal5-xrescon-0207,mlp_vanilla,rescalmimicv1,"ptt,hr,ppg_histogram_up,ppg_histogram_down,vpg_histogram_up,vpg_histogram_down,apg_histogram_up,apg_histogram_down,ppg_fft_peaks_heights,ppg_fft_peaks_neighbor_avgs,vpg_fft_peaks_heights,vpg_fft_peaks_neighbor_avgs,apg_fft_peaks_heights,apg_fft_peaks_neighbor_avgs,usdc,dsdc",sbp
1,438,5,14.30069351196289,13.889209747314453,ResidualCalibrated,sqi30ResCal-mlp-allfeat-cal5-xrescon-0207,mlp_vanilla,rescalmimicv1,"ptt,hr,ppg_histogram_up,ppg_histogram_down,vpg_histogram_up,vpg_histogram_down,apg_histogram_up,apg_histogram_down,ppg_fft_peaks_heights,ppg_fft_peaks_neighbor_avgs,vpg_fft_peaks_heights,vpg_fft_peaks_neighbor_avgs,apg_fft_peaks_heights,apg_fft_peaks_neighbor_avgs,usdc,dsdc",sbp
1,471,5,40.101924896240234,15.024018287658691,ResidualCalibrated,sqi30ResCal-mlp-allfeat-cal5-xrescon-0207,mlp_vanilla,rescalmimicv1,"ptt,hr,ppg_histogram_up,ppg_histogram_down,vpg_histogram_up,vpg_histogram_down,apg_histogram_up,apg_histogram_down,ppg_fft_peaks_heights,ppg_fft_peaks_neighbor_avgs,vpg_fft_peaks_heights,vpg_fft_peaks_neighbor_avgs,apg_fft_peaks_heights,apg_fft_peaks_neighbor_avgs,usdc,dsdc",sbp
1,213,5,22.24738121032715,5.1364240646362305,ResidualCalibrated,sqi30ResCal-mlp-allfeat-cal5-xrescon-0207,mlp_vanilla,rescalmimicv1,"ptt,hr,ppg_histogram_up,ppg_histogram_down,vpg_histogram_up,vpg_histogram_down,apg_histogram_up,apg_histogram_down,ppg_fft_peaks_heights,ppg_fft_peaks_neighbor_avgs,vpg_fft_peaks_heights,vpg_fft_peaks_neighbor_avgs,apg_fft_peaks_heights,apg_fft_peaks_neighbor_avgs,usdc,dsdc",sbp
1,439,5,9.393213272094727,9.866381645202637,ResidualCalibrated,sqi30ResCal-mlp-allfeat-cal5-xrescon-0207,mlp_vanilla,rescalmimicv1,"ptt,hr,ppg_histogram_up,ppg_histogram_down,vpg_histogram_up,vpg_histogram_down,apg_histogram_up,apg_histogram_down,ppg_fft_peaks_heights,ppg_fft_peaks_neighbor_avgs,vpg_fft_peaks_heights,vpg_fft_peaks_neighbor_avgs,apg_fft_peaks_heights,apg_fft_peaks_neighbor_avgs,usdc,dsdc",sbp
